Species,Species.abbr,Age.Ma.avg,Species.Name,Species name adjusted to 10kTrees,Species name in Perelman tree ,Subfamily,Family,ExtantOrFossil,EncephalizationGroup,logECV,logBodyMass,ECV,N ECV,Sex ECV,Source ECV,BodyMass,N Body mass,Sex Body mass,Source Body mass,Original source Body mass
Papio cynocephalus,,,Papio_cynocephalus,Papio_cynocephalus,Papio_cynocephalus,Cercopithecinae,Cercopithecidae,Extant,Ancestral,2.174754573,4.015275907,149.5390347,13,fem,van Woerden compilation,10358,12,fem,Bentley Condit unpubl in ATWP 2012,
Papio hamadryas,,,Papio_hamadryas,Papio_hamadryas,Papio_hamadryas,Cercopithecinae,Cercopithecidae,Extant,Ancestral,2.136720567,3.995635195,137,9,fem,van Woerden compilation,9900,76,fem,Phillips-Conroy & Jolly 81,Smith&Jungers 1997
Papio papio,,,Papio_papio,Papio_papio,Papio_papio,Cercopithecinae,Cercopithecidae,Extant,Ancestral,,4.079181246,,,,,12000,,fem,Adie 1997 in ATWP 2012,
Papio ursinus,,,Papio_ursinus,Papio_ursinus,Papio_ursinus,Cercopithecinae,Cercopithecidae,Extant,Ancestral,2.217483944,4.170261715,165,14,fem,Isler et al. 2008,14800,22,fem,"Bulger&Hamilton 87, Skinner&Smithers 90",Smith&Jungers 1997
Perodicticus potto,,,Perodicticus_potto,Perodicticus_potto,Perodicticus_potto,,Loridae,Extant,Ancestral,1.096849508,2.923461987,12.49825865,122,all individuals,van Woerden compilation,838.4206897,29,all individuals,van Woerden compilation (matching),matching ECV
Phaner pallescens,,,Phaner_pallescens,Phaner_furcifer_pallescens,Phaner_pallescens,,Cheirogaleidae,Extant,Ancestral,0.824868866,2.530199698,6.681421429,7,all individuals,van Woerden compilation,339,14,all individuals,Isler et al. 2008,Schülke et al. 2004 (P. furcifer)
Pithecia albicans,,,Pithecia_albicans,Pithecia_albicans,Pithecia_albicans,,Pitheciidae,Extant,Ancestral,,,,,,,,,,,
Pithecia irrorata,,,Pithecia_irrorata,Pithecia_irrorata,Pithecia_irrorata,,Pitheciidae,Extant,Ancestral,1.56937391,3.288361027,37.1,11,all individuals,van Woerden compilation,1942.5,,all individuals,Norconk 07 review,
Pithecia monachus,,,Pithecia_monachus,Pithecia_monachus,Pithecia_monachus,,Pitheciidae,Extant,Ancestral,1.557962244,3.36035144,36.13784446,30,all individuals,van Woerden compilation,2292.722222,9,all individuals,van Woerden compilation (matching),matching ECV
Pithecia pithecia,,,Pithecia_pithecia,Pithecia_pithecia,Pithecia_pithecia,,Pitheciidae,Extant,Ancestral,1.497955968,3.214578954,31.47429189,36,all individuals,van Woerden compilation,1639,10,all individuals,van Woerden compilation (matching),matching ECV
Pongo abelii,,,Pongo_abelii,Pongo_abelii,Pongo_abelii,,Pongidae,Extant,Ancestral,2.539149172,4.614348731,346.0582218,14,fem,van Woerden compilation,41148,7,fem,van Woerden compilation (matching),matching ECV
Pongo pygmaeus,,,Pongo_pygmaeus,Pongo_pygmaeus,Pongo_pygmaeus,,Pongidae,Extant,Ancestral,2.530921585,4.567586661,339.5639565,54,fem,van Woerden compilation,36947.63636,11,fem,van Woerden compilation (matching),matching ECV
Pongo pygmaeus morio,,,Pongo_pygmaeus_morio,,,,Pongidae,Extant,Ancestral,2.518690953,4.574000383,330.1345312,4,fem,van Woerden compilation,37497.33333,3,fem,van Woerden compilation (matching),matching ECV
Pongo pygmaeus wurmbii,,,Pongo_pygmaeus_wurmbii,,,,Pongidae,Extant,Ancestral,2.527153485,4.565156883,336.6305176,30,fem,van Woerden compilation,36741.5,8,fem,van Woerden compilation (matching),matching ECV
Presbytis comata,,,Presbytis_comata,Presbytis_comata,Presbytis_comata,Colobinae,Cercopithecidae,Extant,Ancestral,1.832508913,3.82672252,68,9,fem,van Woerden compilation,6710,6,fem,Isler et al. 2008,Rothenfluh 1976 in Smith and Jungers 1997
Presbytis femoralis,,,Presbytis_femoralis,Presbytis_femoralis,Presbytis_femoralis,Colobinae,Cercopithecidae,Extant,Ancestral,1.846539124,3.832751539,70.23266115,5,fem,Isler et al. 2008,6803.8,5,fem,van Woerden compilation (matching),matching ECV
Presbytis frontata,,,Presbytis_frontata,Presbytis_frontata,Presbytis_frontata,Colobinae,Cercopithecidae,Extant,Ancestral,1.864072395,3.753583059,73.12609714,7,fem,van Woerden compilation,5670,8,fem,Smith&Jungers 1997,Willis 1995 in Smith and Jungers 1997
Presbytis hosei,,,Presbytis_hosei,Presbytis_hosei,Presbytis_hosei,Colobinae,Cercopithecidae,Extant,Ancestral,1.77831207,3.750508395,60.02222222,9,fem,van Woerden compilation,5630,3,fem,Smith&Jungers 1997,Willis 1995
Presbytis melalophos,,,Presbytis_melalophos,Presbytis_melalophos,Presbytis_melalophos,Colobinae,Cercopithecidae,Extant,Ancestral,1.787264941,3.817342967,61.27240694,22,fem,van Woerden compilation,6566.636364,11,fem,van Woerden compilation (matching),matching ECV
Presbytis potenziani,,,Presbytis_potenziani,Presbytis_potenziani,Presbytis_potenziani,Colobinae,Cercopithecidae,Extant,Ancestral,1.755684334,3.806417414,56.975,8,fem,van Woerden compilation,6403.5,,fem,Smith&Jungers 1997,"Brandon-Jones 93, Tilson & Tenaza 76"
Presbytis rubicunda,,,Presbytis_rubicunda,Presbytis_rubicunda,Presbytis_rubicunda,Colobinae,Cercopithecidae,Extant,Ancestral,1.837428632,3.793888759,68.7746885,31,fem,van Woerden compilation,6221.409091,22,fem,van Woerden compilation (matching),matching ECV
Presbytis siamensis,,,Presbytis_siamensis,Presbytis_siamensis,Presbytis_siamensis,Colobinae,Cercopithecidae,Extant,Ancestral,1.757265692,3.803895871,57.18283618,7,fem,Isler et al. 2008,6366.428571,7,fem,van Woerden compilation (matching),matching ECV
Presbytis thomasi,,,Presbytis_thomasi,Presbytis_thomasi,Presbytis_thomasi,Colobinae,Cercopithecidae,Extant,Ancestral,1.815982658,3.802801082,65.46100333,6,fem,van Woerden compilation,6350.4,2,fem,van Woerden compilation (matching),matching ECV
Procolobus badius,,,Procolobus_badius,Piliocolobus_badius,Procolobus_badius,red colobus group,Cercopithecidae,Extant,Ancestral,1.789015671,3.85324178,61.51990717,31,fem,van Woerden compilation,7132.5,8,fem,van Woerden compilation (matching),matching ECV
Procolobus kirkii,,,Procolobus_kirkii,Piliocolobus_kirkii,Procolobus_kirkii,red colobus group,Cercopithecidae,Extant,Ancestral,1.744292983,3.710399466,55.5,8,female,Isler et al. 2008,5133.333333,3,fem,van Woerden compilation (matching),matching ECV
Procolobus pennantii,,,Procolobus_pennantii,Piliocolobus_pennantii,Procolobus_pennantii,red colobus group,Cercopithecidae,Extant,Ancestral,1.855243745,3.919078092,71.65454545,11,fem,van Woerden compilation,8300,,indet,Waltert 2002 in ATWP 2011,
Procolobus preussi,,,Procolobus_preussi,Piliocolobus_preussi,Procolobus_preussi,red colobus group,Cercopithecidae,Extant,Ancestral,,,,,,,,,,,
Procolobus rufomitratus,,,Procolobus_rufomitratus,Piliocolobus_rufomitratus,Procolobus_rufomitratus,red colobus group,Cercopithecidae,Extant,Ancestral,1.848591904,3.875061263,70.56541562,10,fem,van Woerden compilation,7500,,fem,ATWP 2011,
Procolobus rufomitratus tephrosceles,,,Procolobus_rufomitratus_tephrosceles,Piliocolobus_tephrosceles,Procolobus_tephrosceles,red colobus group,Cercopithecidae,Extant,Ancestral,1.860063303,3.860816964,72.45415621,1,fem,van Woerden compilation,7258,1,fem,van Woerden compilation (matching),
